Name,Parameter,Value
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT:VARIABLESPEEDFAN,Maximum Heating Air Flow Rate,4
AIRTERMINAL:SINGLEDUCT:VAV:REHEAT:VARIABLESPEEDFAN,Maximum Hot Water or Steam Flow Rate,12
BOILER:HOTWATER,Design Size Design Water Flow Rate,7
BOILER:HOTWATER,Design Size Nominal Capacity,3
BOILER:HOTWATER,Design Water Flow Rate,7
BOILER:HOTWATER,Nominal Capacity,3
BOILER:STEAM,Design Size Nominal Capacity,6
BOILER:STEAM,Nominal Capacity,6
CHILLER:ABSORPTION,Design Chilled Water Flow Rate,12
CHILLER:ABSORPTION,Design Condenser Water Flow Rate,13
CHILLER:ABSORPTION,Design Generator Fluid Flow Rate,25
CHILLER:ABSORPTION,Design Size Design Chilled Water Flow Rate,12
CHILLER:ABSORPTION,Design Size Design Condenser Water Flow Rate,13
CHILLER:ABSORPTION,Design Size Design Generator Fluid Flow Rate,25
CHILLER:ABSORPTION,Design Size Nominal Capacity,2
CHILLER:ABSORPTION,Design Size Nominal Pumping Power,3
CHILLER:ABSORPTION,Nominal Capacity,2
CHILLER:ABSORPTION,Nominal Pumping Power,3
CHILLER:ABSORPTION:INDIRECT,Design Chilled Water Flow Rate,14
CHILLER:ABSORPTION:INDIRECT,Design Condenser Water Flow Rate,15
CHILLER:ABSORPTION:INDIRECT,Design Generator Fluid Flow Rate,27
CHILLER:ABSORPTION:INDIRECT,Design Size Design Chilled Water Flow Rate,14
CHILLER:ABSORPTION:INDIRECT,Design Size Design Condenser Water Flow Rate,15
CHILLER:ABSORPTION:INDIRECT,Design Size Design Generator Fluid Flow Rate,27
CHILLER:ABSORPTION:INDIRECT,Design Size Nominal Capacity,2
CHILLER:ABSORPTION:INDIRECT,Design Size Nominal Pumping Power,3
CHILLER:ABSORPTION:INDIRECT,Nominal Capacity,2
CHILLER:ABSORPTION:INDIRECT,Nominal Pumping Power,3
CHILLER:COMBUSTIONTURBINE,Design Chilled Water Flow Rate,15
CHILLER:COMBUSTIONTURBINE,Design Condenser Water Flow Rate,16
CHILLER:COMBUSTIONTURBINE,Design Heat Recovery Water Flow Rate,51
CHILLER:COMBUSTIONTURBINE,Design Size Design Chilled Water Flow Rate,15
CHILLER:COMBUSTIONTURBINE,Design Size Design Condenser Water Flow Rate,16
CHILLER:COMBUSTIONTURBINE,Design Size Design Heat Recovery Water Flow Rate,51
CHILLER:COMBUSTIONTURBINE,Design Size Gas Turbine Engine Capacity,47
CHILLER:COMBUSTIONTURBINE,Design Size Nominal Capacity,3
CHILLER:COMBUSTIONTURBINE,Gas Turbine Engine Capacity,47
CHILLER:COMBUSTIONTURBINE,Nominal Capacity,3
CHILLER:CONSTANTCOP,Design Chilled Water Flow Rate,4
CHILLER:CONSTANTCOP,Design Condenser Water Flow Rate,5
CHILLER:CONSTANTCOP,Design Size Design Chilled Water Flow Rate,4
CHILLER:CONSTANTCOP,Design Size Design Condenser Water Flow Rate,5
CHILLER:CONSTANTCOP,Design Size Nominal Capacity,2
CHILLER:CONSTANTCOP,Nominal Capacity,2
CHILLER:ELECTRIC,Design Chilled Water Flow Rate,15
CHILLER:ELECTRIC,Design Condenser Fluid Flow Rate,16
CHILLER:ELECTRIC,Design Heat Recovery Water Flow Rate,28
CHILLER:ELECTRIC,Design Size Design Chilled Water Flow Rate,15
CHILLER:ELECTRIC,Design Size Design Condenser Fluid Flow Rate,16
CHILLER:ELECTRIC,Design Size Design Heat Recovery Water Flow Rate,28
CHILLER:ELECTRIC,Design Size Nominal Capacity,3
CHILLER:ELECTRIC,Nominal Capacity,3
CHILLER:ELECTRIC:ASHRAE205,Chilled Water Maximum Requested Flow Rate,12
CHILLER:ELECTRIC:ASHRAE205,Condenser Maximum Requested Flow Rate,15
CHILLER:ELECTRIC:ASHRAE205,Design Size Chilled Water Maximum Requested Flow Rate,12
CHILLER:ELECTRIC:ASHRAE205,Design Size Condenser Maximum Requested Flow Rate,15
CHILLER:ELECTRIC:ASHRAE205,Design Size Rated Capacity,4
CHILLER:ELECTRIC:ASHRAE205,Rated Capacity,4
CHILLER:ELECTRIC:EIR,Design Heat Recovery Water Flow Rate,24
CHILLER:ELECTRIC:EIR,Design Size Design Heat Recovery Water Flow Rate,24
CHILLER:ELECTRIC:EIR,Design Size Reference Capacity,2
CHILLER:ELECTRIC:EIR,Design Size Reference Chilled Water Flow Rate,6
CHILLER:ELECTRIC:EIR,Design Size Reference Condenser Fluid Flow Rate,7
CHILLER:ELECTRIC:EIR,Reference Capacity,2
CHILLER:ELECTRIC:EIR,Reference Chilled Water Flow Rate,6
CHILLER:ELECTRIC:EIR,Reference Condenser Fluid Flow Rate,7
CHILLER:ELECTRIC:REFORMULATEDEIR,Design Heat Recovery Water Flow Rate,23
CHILLER:ELECTRIC:REFORMULATEDEIR,Design Size Design Heat Recovery Water Flow Rate,23
CHILLER:ELECTRIC:REFORMULATEDEIR,Design Size Reference Capacity,2
CHILLER:ELECTRIC:REFORMULATEDEIR,Design Size Reference Chilled Water Flow Rate,6
CHILLER:ELECTRIC:REFORMULATEDEIR,Design Size Reference Condenser Water Flow Rate,7
CHILLER:ELECTRIC:REFORMULATEDEIR,Reference Capacity,2
CHILLER:ELECTRIC:REFORMULATEDEIR,Reference Chilled Water Flow Rate,6
CHILLER:ELECTRIC:REFORMULATEDEIR,Reference Condenser Water Flow Rate,7
CHILLER:ENGINEDRIVEN,Design Chilled Water Flow Rate,15
CHILLER:ENGINEDRIVEN,Design Condenser Water Flow Rate,16
CHILLER:ENGINEDRIVEN,Design Heat Recovery Water Flow Rate,38
CHILLER:ENGINEDRIVEN,Design Size Design Chilled Water Flow Rate,15
CHILLER:ENGINEDRIVEN,Design Size Design Condenser Water Flow Rate,16
CHILLER:ENGINEDRIVEN,Design Size Design Heat Recovery Water Flow Rate,38
CHILLER:ENGINEDRIVEN,Design Size Nominal Capacity,3
