Base TechID,Measure TechID,System Type,Building Type,Building Location,heat,cool,ventFan
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-7.5%UC-AOE,rDXHP,MFm,CZ11,15935.18,24305.59,7319.75
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-7.5%UC-AOE,rDXHP,MFm,CZ12,15792.84,10656.88,4236.27
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-7.5%UC-AOE,rDXHP,MFm,CZ13,23726.03,31296.76,9924.5
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-7.5%UC-AOE,rDXHP,MFm,CZ14,23024.61,18565.42,6892.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-7.5%UC-AOE,rDXHP,MFm,CZ15,6077.75,55355.66,12945.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-7.5%UC-AOE,rDXHP,MFm,CZ16,27972.09,6965.98,5175.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ01,11917.53,1111.68,1325.04
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ02,19125.95,5843.2,3183.17
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ03,17982.22,7582.17,3814.86
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,MFm,CZ04,29710.8,14390.71,6017.97
