PA,bldgtype,bldgloc,bldghvac,wtval
Any,SFm,CZ08,rDXWP,0.01
Any,SFm,CZ08,rEVEF,60.0
Any,SFm,CZ08,rEVEH,141.3
Any,SFm,CZ08,rEVGF,672.1
Any,SFm,CZ08,rEVOH,204.5
Any,SFm,CZ08,rNCEF ,8373.2
Any,SFm,CZ08,rNCEH,871.9
Any,SFm,CZ08,rNCGF,30003.9
Any,SFm,CZ08,rNCOH,111387.0
Any,SFm,CZ09,rDXEF,34081.5
Any,SFm,CZ09,rDXEH,13497.1
Any,SFm,CZ09,rDXGF,636842.0
Any,SFm,CZ09,rDXHP,36996.4
Any,SFm,CZ09,rDXHW,8653.1
Any,SFm,CZ09,rDXOH,69280.1
Any,SFm,CZ09,rDXWP,0.01
Any,SFm,CZ09,rEVEF,4804.8
Any,SFm,CZ09,rEVEH,0.01
Any,SFm,CZ09,rEVGF,1392.9
Any,SFm,CZ09,rEVOH,639.8
Any,SFm,CZ09,rNCEF ,5951.5
Any,SFm,CZ09,rNCEH,681.6
Any,SFm,CZ09,rNCGF,18090.0
Any,SFm,CZ09,rNCOH,170251.0
Any,SFm,CZ10,rDXEF,47991.0
Any,SFm,CZ10,rDXEH,3385.1
Any,SFm,CZ10,rDXGF,704853.0
