Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
ERC,M1,CZ13,cDXGF,4921926135.32,0,1379994424.25,10408510475.14,0,11808452971.56,,,,
ERC,M1,CZ14,cDXGF,4981358921.32,0,1118886630.72,10932159435.16,0,10967434472.66,,,,
ERC,M1,CZ15,cDXGF,411451976.05,0,3929887707.92,1206931843.94,0,22333181886.94,,,,
ERC,M1,CZ16,cDXGF,10195560465.73,0,68101513.67,25131037345.11,0,3013375663.6,,,,
ERC,M1,CZ01,cDXHP,0,1935500781.11,0,0,6026718532.25,67873668.1,,,,
ERC,M1,CZ02,cDXHP,0,1424462334.75,50281351.16,0,3735574468.4,3605354284.67,,,,
ERC,M1,CZ03,cDXHP,0,749452444.85,0,0,2274196168.81,1490617082.97,,,,
ERC,M1,CZ04,cDXHP,0,1257784414.39,469884758.9,0,3043296636.77,7045561147.36,,,,
ERC,M1,CZ05,cDXHP,0,569619499.81,0,0,2017321884.31,1902989691.51,,,,
ERC,M1,CZ06,cDXHP,0,59907607.64,5924166.26,0,435268217.01,4027534419.42,,,,
ERC,M1,CZ07,cDXHP,0,3812351.49,12943162.62,0,357746431.07,4450011011.08,,,,
ERC,M1,CZ08,cDXHP,0,92245342.85,268032633.29,0,539735059.12,7976113323.44,,,,
ERC,M1,CZ09,cDXHP,0,226010597.6,405861563.67,0,785234366.48,8176768891.72,,,,
ERC,M1,CZ10,cDXHP,0,190793218.29,508176482.59,0,806194102.35,9129568073.97,,,,
ERC,M1,CZ11,cDXHP,0,1466666971.47,1319257167.23,0,3359836390.37,11076337786.8,,,,
ERC,M1,CZ12,cDXHP,0,1463526031.55,504064472.98,0,3311939285.82,7022271690.17,,,,
ERC,M1,CZ13,cDXHP,0,1289869837.93,1385617262.97,0,2647261963.82,11844348875.65,,,,
ERC,M1,CZ14,cDXHP,0,1448419665.32,1129196781.07,0,3000598654.77,11100108320.69,,,,
ERC,M1,CZ15,cDXHP,0,107228780.84,3929887707.92,0,303637100.28,22333181886.94,,,,
ERC,M1,CZ16,cDXHP,0,3056556331.84,68541651.59,0,7250874710.99,3058214922.71,,,,
ERC,M1,CZ01,cPTAC,0,0,0,0,0,60992816.57,,,,
ERC,M1,CZ02,cPTAC,0,0,49160675.13,0,0,3542488024.78,,,,
ERC,M1,CZ03,cPTAC,0,0,0,0,0,1477154233.24,,,,
ERC,M1,CZ04,cPTAC,0,0,461887387.89,0,0,6898131762.52,,,,
ERC,M1,CZ05,cPTAC,0,0,0,0,0,1854430234.41,,,,
ERC,M1,CZ06,cPTAC,0,0,5911243.41,0,0,4191245009.26,,,,
ERC,M1,CZ07,cPTAC,0,0,12891403.19,0,0,4597567222.3,,,,
ERC,M1,CZ08,cPTAC,0,0,266847721.67,0,0,8031414423.98,,,,
ERC,M1,CZ09,cPTAC,0,0,404474748.36,0,0,8177991710.75,,,,
ERC,M1,CZ10,cPTAC,0,0,506548605.34,0,0,9107425936.09,,,,
ERC,M1,CZ11,cPTAC,0,0,1309171290.8,0,0,10976352754.86,,,,
ERC,M1,CZ12,cPTAC,0,0,499617660.81,0,0,6973233694.27,,,,
ERC,M1,CZ13,cPTAC,0,0,1379949199.8,0,0,11798766784.2,,,,
ERC,M1,CZ14,cPTAC,0,0,1118858847.1,0,0,10942774000.19,,,,
ERC,M1,CZ15,cPTAC,0,0,3929881298.94,0,0,22323878495.03,,,,
ERC,M1,CZ16,cPTAC,0,0,68036255.56,0,0,3003955384.4,,,,
ERC,M1,CZ01,cPVVG,9144739923.67,0,0,30743439579.26,0,81440832.04,,,,
ERC,M1,CZ02,cPVVG,6788893235.79,0,34683903.18,19425132588.22,0,3334748084.73,,,,
ERC,M1,CZ03,cPVVG,3894775158.98,0,0,13001572208.86,0,1513838393.15,,,,
ERC,M1,CZ04,cPVVG,5943459006.87,0,371527162.09,15762311500.28,0,6476453126.57,,,,
ERC,M1,CZ05,cPVVG,2950734930.92,0,0,11615501842.54,0,1824091523.73,,,,
ERC,M1,CZ06,cPVVG,420876717.88,0,1183884.99,3271350787.31,0,4020470617.89,,,,
ERC,M1,CZ07,cPVVG,34483903.04,0,5054148.35,2723821630.45,0,4209688774.14,,,,
ERC,M1,CZ08,cPVVG,639995212.41,0,170043597.09,3790863602.27,0,7382036345.41,,,,
ERC,M1,CZ09,cPVVG,1432556924.61,0,278511374.44,5227389231.6,0,7499514728.59,,,,
ERC,M1,CZ10,cPVVG,1214253194.19,0,376529333,5216503107.35,0,8466939251.48,,,,
ERC,M1,CZ11,cPVVG,7069361222.63,0,1051264668.08,17610369202.46,0,10233103406.71,,,,
ERC,M1,CZ12,cPVVG,7195422743.48,0,385933469.01,17527938168.23,0,6525073244.83,,,,
ERC,M1,CZ13,cPVVG,6684846258.25,0,1078539829.33,14657809026.51,0,10995732293.17,,,,
ERC,M1,CZ14,cPVVG,6530757049.92,0,859659161.75,15079663957.2,0,10188730769.77,,,,
ERC,M1,CZ15,cPVVG,629994483.25,0,3164599736.4,2125476882.33,0,20724648616.53,,,,
ERC,M1,CZ16,cPVVG,13248604585.68,0,26188644.12,32887634074.03,0,2792967118.43,,,,
Ese,M1,CZ01,cDXGF,4996719753.01,0,5108066.18,134171165210.83,0,4808859696.83,,,,
Ese,M1,CZ02,cDXGF,11790443633.74,0,4100576387.8,102039889387.86,0,105424674064.35,,,,
Ese,M1,CZ03,cDXGF,2318704949.97,0,461168156.12,50470106560.75,0,49189598298.29,,,,
Ese,M1,CZ04,cDXGF,7846152553.83,0,10851945999.64,79604293011.53,0,174542835851.26,,,,
Ese,M1,CZ05,cDXGF,1645319250.27,0,772000303.44,46830009312.15,0,65910496032.76,,,,
Ese,M1,CZ06,cDXGF,0,0,2459030354.21,9713168432.75,0,123919907560.87,,,,
Ese,M1,CZ07,cDXGF,0,0,3157576054.41,9198664692.29,0,133348742834.38,,,,
Ese,M1,CZ08,cDXGF,0,0,9341260482.78,13327600472.02,0,208906922035.96,,,,
Ese,M1,CZ09,cDXGF,430127852.37,0,11957374729.34,19349180039.82,0,210760528756.7,,,,
Ese,M1,CZ10,cDXGF,304523576.06,0,13558000296.94,24636872741.77,0,232487349353.13,,,,
Ese,M1,CZ11,cDXGF,16802849749.36,0,21774417417.03,94455010030.44,0,248268171277,,,,
Ese,M1,CZ12,cDXGF,14259435262.71,0,10310252197.13,88745362716.37,0,171605506186.16,,,,
