Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ12,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,28.8189
CZ12,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,27.4157
CZ12,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,37.282
CZ12,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,43.4482
CZ12,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,54.069
CZ12,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,91.2533
CZ12,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,33.2459
CZ12,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,30.41
CZ12,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,28.8646
CZ12,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,28.8098
CZ12,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,27.4157
CZ13,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,74.6416
CZ13,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,89.7122
CZ13,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,115.5833
CZ13,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,207.326
CZ13,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,64.7761
CZ13,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,57.8162
CZ13,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,53.9482
