Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
SCn,M5,cPTAC,Measure,CZ13,36.95444444444445,2546422574.534961
SCn,M5,cPVVG,Base,CZ13,36.95444444444445,2546296164.2416024
SCn,M5,cPVVG,Measure,CZ13,36.95444444444445,2546296164.2416024
Asm,M1,cDXGF,Base,CZ14,36.62611111111111,793525818.4800832
Asm,M1,cDXGF,Measure,CZ14,36.62611111111111,796599755.9169704
Asm,M1,cDXHP,Base,CZ14,36.62611111111111,793921404.1507334
Asm,M1,cDXHP,Measure,CZ14,36.62611111111111,796992316.7317584
Asm,M1,cPTAC,Base,CZ14,36.62611111111111,793525818.3102113
Asm,M1,cPTAC,Measure,CZ14,36.62611111111111,796599755.9169652
Asm,M1,cPVVG,Base,CZ14,36.62611111111111,759330153.0628402
Asm,M1,cPVVG,Measure,CZ14,36.62611111111111,766750266.9565015
Asm,M2,cDXGF,Base,CZ14,36.62611111111111,644422116.1205112
Asm,M2,cDXGF,Measure,CZ14,36.62611111111111,643004465.855636
Asm,M2,cDXHP,Base,CZ14,36.62611111111111,644550461.5238541
Asm,M2,cDXHP,Measure,CZ14,36.62611111111111,643125747.729335
Asm,M2,cPTAC,Base,CZ14,36.62611111111111,644422116.1205145
Asm,M2,cPTAC,Measure,CZ14,36.62611111111111,643004465.8556341
Asm,M2,cPVVG,Base,CZ14,36.62611111111111,580245564.4529697
Asm,M2,cPVVG,Measure,CZ14,36.62611111111111,578770522.8397926
Asm,M3,cDXGF,Base,CZ14,36.62611111111111,569953084.3978562
Asm,M3,cDXGF,Measure,CZ14,36.62611111111111,570029721.6716796
Asm,M3,cDXHP,Base,CZ14,36.62611111111111,568963165.4720871
Asm,M3,cDXHP,Measure,CZ14,36.62611111111111,569039691.7481014
Asm,M3,cPTAC,Base,CZ14,36.62611111111111,569953084.3978577
Asm,M3,cPTAC,Measure,CZ14,36.62611111111111,570029721.6716858
Asm,M3,cPVVG,Base,CZ14,36.62611111111111,561482219.8320768
Asm,M3,cPVVG,Measure,CZ14,36.62611111111111,561559202.1670009
Asm,M4,cDXGF,Base,CZ14,36.62611111111111,793525871.6456014
Asm,M4,cDXGF,Measure,CZ14,36.62611111111111,796599782.3522761
Asm,M4,cDXHP,Base,CZ14,36.62611111111111,793921458.978292
Asm,M4,cDXHP,Measure,CZ14,36.62611111111111,796992337.0714729
Asm,M4,cPTAC,Base,CZ14,36.62611111111111,793525871.4757202
Asm,M4,cPTAC,Measure,CZ14,36.62611111111111,796599782.352271
Asm,M4,cPVVG,Base,CZ14,36.62611111111111,759330169.9432378
Asm,M4,cPVVG,Measure,CZ14,36.62611111111111,766745549.2154294
Asm,M5,cDXGF,Base,CZ14,36.62611111111111,662031256.0820706
