Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
Epr,M2,cDXGF,Base,CZ08,32.875,294052708.7145888
Epr,M2,cDXGF,Measure,CZ08,32.875,288737411.6305292
Epr,M2,cDXHP,Base,CZ08,32.875,293373675.36421424
Epr,M2,cDXHP,Measure,CZ08,32.875,288017027.1625316
Epr,M2,cPTAC,Base,CZ08,32.875,294052708.71458846
Epr,M2,cPTAC,Measure,CZ08,32.875,288737787.407512
Epr,M2,cPVVG,Base,CZ08,32.875,256841339.84626994
Epr,M2,cPVVG,Measure,CZ08,32.875,253597254.45370227
Epr,M3,cDXGF,Base,CZ08,32.875,249205096.659763
Epr,M3,cDXGF,Measure,CZ08,32.875,228404521.1497589
Epr,M3,cDXHP,Base,CZ08,32.875,247108350.3352586
Epr,M3,cDXHP,Measure,CZ08,32.875,226152209.0992809
Epr,M3,cPTAC,Base,CZ08,32.875,249205096.66012993
Epr,M3,cPTAC,Measure,CZ08,32.875,228402426.02971175
Epr,M3,cPVVG,Base,CZ08,32.875,245454954.07996634
Epr,M3,cPVVG,Measure,CZ08,32.875,224828465.118831
Epr,M4,cDXGF,Base,CZ08,32.875,327262417.43200576
Epr,M4,cDXGF,Measure,CZ08,32.875,331931179.49936295
Epr,M4,cDXHP,Base,CZ08,32.875,329082550.4787091
Epr,M4,cDXHP,Measure,CZ08,32.875,333849243.2204057
Epr,M4,cPTAC,Base,CZ08,32.875,327260879.87153
Epr,M4,cPTAC,Measure,CZ08,32.875,331930899.59140295
Epr,M4,cPVVG,Base,CZ08,32.875,298500388.8834935
Epr,M4,cPVVG,Measure,CZ08,32.875,308308708.95405114
Epr,M5,cDXGF,Base,CZ08,32.875,266171423.83322904
Epr,M5,cDXGF,Measure,CZ08,32.875,249045062.10188988
Epr,M5,cDXHP,Base,CZ08,32.875,260862545.02772763
Epr,M5,cDXHP,Measure,CZ08,32.875,243947550.8797639
Epr,M5,cPTAC,Base,CZ08,32.875,266171423.83252755
Epr,M5,cPTAC,Measure,CZ08,32.875,249047382.12846383
Epr,M5,cPVVG,Base,CZ08,32.875,262199724.88018268
Epr,M5,cPVVG,Measure,CZ08,32.875,245233239.49589995
ERC,M1,cDXGF,Base,CZ08,32.875,13960634.53637927
ERC,M1,cDXGF,Measure,CZ08,32.875,14020216.198053807
ERC,M1,cDXHP,Base,CZ08,32.875,14038618.483708603
ERC,M1,cDXHP,Measure,CZ08,32.875,14099275.303661117
ERC,M1,cPTAC,Base,CZ08,32.875,13960634.528917115
ERC,M1,cPTAC,Measure,CZ08,32.875,14020216.190214893
ERC,M1,cPVVG,Base,CZ08,32.875,12655678.901458861
ERC,M1,cPVVG,Measure,CZ08,32.875,12856693.283065699
ERC,M2,cDXGF,Base,CZ08,32.875,12605483.743263341
ERC,M2,cDXGF,Measure,CZ08,32.875,12387841.593880972
ERC,M2,cDXHP,Base,CZ08,32.875,12574886.300509114
ERC,M2,cDXHP,Measure,CZ08,32.875,12353801.19344585
ERC,M2,cPTAC,Base,CZ08,32.875,12605483.743263267
ERC,M2,cPTAC,Measure,CZ08,32.875,12387841.593881339
ERC,M2,cPVVG,Base,CZ08,32.875,10800159.049935848
ERC,M2,cPVVG,Measure,CZ08,32.875,10681247.214014221
ERC,M3,cDXGF,Base,CZ08,32.875,10505998.006084273
ERC,M3,cDXGF,Measure,CZ08,32.875,9398230.545811672
ERC,M3,cDXHP,Base,CZ08,32.875,10409812.44109076
ERC,M3,cDXHP,Measure,CZ08,32.875,9294248.481548397
ERC,M3,cPTAC,Base,CZ08,32.875,10505998.006084511
ERC,M3,cPTAC,Measure,CZ08,32.875,9398230.545810835
ERC,M3,cPVVG,Base,CZ08,32.875,10310298.12721862
